id,gender,masterCategory,subCategory,articleType,baseColour,productDisplayName,Unnamed: 7,imageURL
1163,Men,Apparel,Topwear,Tshirts,Blue,Nike Sahara Team India Fanwear Round Neck Jersey,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1163.jpg
1164,Men,Apparel,Topwear,Tshirts,Blue,Nike Men Blue T20 Indian Cricket Jersey,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1164.jpg
1165,Men,Apparel,Topwear,Tshirts,Blue,Nike Mean Team India Cricket Jersey,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1165.jpg
1528,Men,Apparel,Topwear,Jackets,Black,Puma Men Ferrari Black Fleece Jacket,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1528.jpg
1529,Men,Apparel,Topwear,Tshirts,Red,Ferrari Tee,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1529.jpg
1530,Men,Apparel,Topwear,Jackets,Red,Puma Men Ferrari Track Jacket,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1530.jpg
1531,Men,Apparel,Topwear,Tshirts,Grey,Puma Men Grey Solid Round Neck T-Shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1531.jpg
1532,Men,Apparel,Topwear,Tshirts,Grey,Puma Men Grey Leaping Cat T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1532.jpg
1533,Men,Apparel,Topwear,Tshirts,Red,Puma Men Cat Red T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1533.jpg
1534,Men,Apparel,Topwear,Tshirts,Black,Puma Men Black Leaping Cat T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1534.jpg
1536,Men,Apparel,Topwear,Tshirts,Black,Puma Men Black Net Jersey,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1536.jpg
1537,Men,Apparel,Topwear,Tshirts,Red,Puma Men Red Net Jersey,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1537.jpg
1538,Men,Apparel,Topwear,Tshirts,Blue,Puma Men Ferrari Track Black T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1538.jpg
1539,Men,Apparel,Topwear,Tshirts,Grey,Puma Men Ferrari Grey T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1539.jpg
1540,Men,Apparel,Topwear,Tshirts,Blue,Puma Men Ferrari Vintage Black Polo T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1540.jpg
1561,Women,Apparel,Topwear,Tshirts,White,Quechua Women Sweat Proof White T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1561.jpg
1562,Men,Apparel,Topwear,Tshirts,Grey,Quechua Men Sweat Proof Grey T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1562.jpg
1563,Men,Apparel,Topwear,Tshirts,Blue,Quechua Men Sweat Proof Blue T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1563.jpg
1567,Men,Apparel,Bottomwear,Shorts,Black,Artengo Men Training Shorts,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1567.jpg
1569,Men,Apparel,Bottomwear,Shorts,Black,Artengo Men Black Tennis Shorts,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1569.jpg
1570,Women,Apparel,Topwear,Tshirts,Black,Artengo Women Tennis Singlet,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1570.jpg
1572,Men,Apparel,Bottomwear,Track Pants,Black,Kalenji Mens Essential Training Track Pants,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1572.jpg
1573,Women,Apparel,Bottomwear,Track Pants,Grey,Kalenji Women Athletes Grey Track Pants,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1573.jpg
1575,Men,Apparel,Topwear,Tshirts,White,Kipsta Men Sports White T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1575.jpg
1578,Men,Apparel,Topwear,Tshirts,Red,Domyos Men Good Stroke Red T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1578.jpg
1579,Men,Apparel,Topwear,Jackets,Grey,Domyos Men Grey Second Skin Jacket,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1579.jpg
1584,Unisex,Apparel,Topwear,Jackets,White,Domyos Unisex Feather-light Jacket,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1584.jpg
1588,Men,Apparel,Topwear,Tshirts,White,Domyos Men White Dry-Fit T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1588.jpg
1603,Men,Apparel,Topwear,Sweatshirts,Navy Blue,Reebok Men Hoops Athletic Navy Sweatshirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1603.jpg
1604,Women,Apparel,Bottomwear,Track Pants,Blue,Reebok Track Pants Women Blue,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1604.jpg
1605,Women,Apparel,Bottomwear,Track Pants,Black,Reebok Black Track Pant,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1605.jpg
1607,Men,Apparel,Bottomwear,Track Pants,Blue,Reebok Men trackpant- male Track Pants,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1607.jpg
1608,Men,Apparel,Bottomwear,Track Pants,Blue,Reebok Track Pants Jet Black,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1608.jpg
1609,Women,Apparel,Topwear,Sweatshirts,Pink,Reebok Women Boat-Neck Wildberry Sweatshirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1609.jpg
1610,Women,Apparel,Topwear,Jackets,Navy Blue,Reebok Navy Jacket,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1610.jpg
1611,Women,Apparel,Topwear,Jackets,Black,Reebok Knit Rib Women Black Jacket,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1611.jpg
1612,Men,Apparel,Topwear,Tshirts,White,Reebok Orange & White Striped Polo T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1612.jpg
1613,Men,Apparel,Topwear,Tshirts,White,Reebok Men White Polo Tshirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1613.jpg
1614,Men,Apparel,Topwear,Tshirts,White,Reebok T-shirt White Polo Tshirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1614.jpg
1615,Men,Apparel,Topwear,Tshirts,Navy Blue,Reebok Men Navy Blue Polo T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1615.jpg
1616,Men,Apparel,Topwear,Tshirts,White,Reebok Men's Shoot White T-Shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1616.jpg
1617,Men,Apparel,Topwear,Tshirts,Red,Reebok Men Shoot T-Shirt Red,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1617.jpg
1618,Men,Footwear,Shoes,Sports Shoes,White,Reebok Men United Runner White,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1618.jpg
1619,Men,Apparel,Bottomwear,Shorts,Grey,Reebok Men Micro Shorts Grey and White,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1619.jpg
1620,Men,Apparel,Bottomwear,Shorts,Blue,Reebok Men Micro Shorts,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1620.jpg
1621,Men,Apparel,Bottomwear,Shorts,Grey,Reebok Men Micro Shorts Black and White,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1621.jpg
1622,Men,Apparel,Topwear,Jackets,Navy Blue,Reebok Navy Knit Rib Jacket,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1622.jpg
1623,Unisex,Accessories,Bags,Backpacks,Red,Reebok Unisex Red Backpack,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1623.jpg
1624,Unisex,Accessories,Bags,Backpacks,Black,Reebok Silver-Black Laptop Backpack,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1624.jpg
1625,Men,Apparel,Topwear,Tshirts,Red,Domyos Men Quick Dry T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1625.jpg
1626,Unisex,Sporting Goods,Sports Equipment,Footballs,Blue,Kipsta F300 Football Size 5 Football,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1626.jpg
1627,Unisex,Sporting Goods,Sports Equipment,Footballs,White,Kipsta F300 Football,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1627.jpg
1628,Unisex,Sporting Goods,Sports Equipment,Basketballs,Brown,Kipsta Xtra Bounce Basketball,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1628.jpg
1634,Men,Footwear,Shoes,Sports Shoes,White,Inesis Water Repellent Canaveral Shoes,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1634.jpg
1635,Unisex,Footwear,Shoes,Casual Shoes,Red,Newfeel Unisex Red Comfy Shoes,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1635.jpg
1636,Men,Footwear,Shoes,Sports Shoes,White,Nike Men Air Zoom Century Shoes,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1636.jpg
1637,Men,Footwear,Shoes,Sports Shoes,White,Nike Men White Cricket Shoes,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1637.jpg
1638,Unisex,Apparel,Bottomwear,Swimwear,Blue,Nabaiji Swimming Goggles Blue Black,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1638.jpg
1641,Men,Footwear,Shoes,Sports Shoes,Silver,Reebok Men's Hex Run Pure Silver Shoe,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1641.jpg
1642,Men,Footwear,Shoes,Sports Shoes,White,Reebok Men Winning Stride White Red,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1642.jpg
1644,Men,Apparel,Topwear,Tshirts,Red,Kipsta Men Loose Fit Round Neck Jersey Red,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1644.jpg
1645,Men,Apparel,Topwear,Tshirts,Black,Kipsta Men Loose Fit Round Neck Jersey Black,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1645.jpg
1646,Women,Accessories,Bags,Backpacks,Grey,Quechua Ultralight Backpack 16 Ltr Grey Bag,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1646.jpg
1647,Unisex,Accessories,Bags,Backpacks,Green,Quechua Unisex Ultralight 16 Ltr Green Backpack,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1647.jpg
1648,Women,Accessories,Bags,Backpacks,Pink,Quechua  Ultralight Backpack Purple 16 ltr Bag,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1648.jpg
1649,Unisex,Footwear,Shoes,Casual Shoes,Blue,Newfeel Unisex Comfy Cool Blue Shoe,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1649.jpg
1651,Women,Apparel,Topwear,Tshirts,Pink,Domyos Women Style Pink T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1651.jpg
1653,Men,Footwear,Shoes,Sports Shoes,Brown,Reebok Men's Ventilator Ubiq Shoe,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1653.jpg
1654,Men,Footwear,Shoes,Sports Shoes,White,Reebok Men's Frisker LP Shoe,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1654.jpg
1656,Unisex,Accessories,Headwear,Caps,Blue,Nike Unisex Odi Day Cap,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1656.jpg
1657,Men,Footwear,Shoes,Sports Shoes,White,Reebok Men's White High Wire Shoe,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1657.jpg
1658,Men,Apparel,Topwear,Jackets,Blue,Nike Men Windrunner Blue Jacket,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1658.jpg
1662,Men,Apparel,Topwear,Jackets,Navy Blue,Nike Men Blue Windrunner Jacket,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1662.jpg
1668,Men,Apparel,Topwear,Tshirts,Red,Reebok Men Playdry Full Sleeved T-shirt Red,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1668.jpg
1670,Men,Apparel,Topwear,Tshirts,Grey,Reebok Men Green Polo T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1670.jpg
1671,Men,Apparel,Topwear,Tshirts,Black,Reebok Men Black Polo T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1671.jpg
1673,Men,Apparel,Topwear,Tshirts,Black,Reebok Mens Lagoon Black T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1673.jpg
1678,Men,Apparel,Topwear,Tshirts,Green,Reebok Men Play Hard Cotton Green T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1678.jpg
1689,Men,Apparel,Topwear,Tshirts,Blue,Reebok Men Blue Polo T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1689.jpg
1697,Unisex,Accessories,Bags,Backpacks,Black,Puma Deck Black Backpack,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1697.jpg
1727,Unisex,Footwear,Shoes,Casual Shoes,Black,Newfeel Unisex Black Lightweight Shoes,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1727.jpg
1728,Unisex,Footwear,Shoes,Sports Shoes,Green,Newfeel Unisex Green Sports Shoes,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1728.jpg
1729,Unisex,Footwear,Shoes,Casual Shoes,White,Newfeel Unisex White Shoes,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1729.jpg
1730,Women,Footwear,Shoes,Sports Shoes,Black,Reebok Women Black Pink Frisker Shoe,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1730.jpg
1731,Women,Footwear,Shoes,Sports Shoes,White,Reebok Women White Blue Frisker Shoes,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1731.jpg
1752,Men,Apparel,Topwear,Tshirts,Red,Lotto Men Red Epic T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1752.jpg
1754,Men,Apparel,Topwear,Tshirts,Black,Lotto Men Marcello Black T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1754.jpg
1755,Men,Apparel,Topwear,Tshirts,Red,Lotto Men Jasper Street Red T-shirt,,https://huggingface.co/datasets/mohit112233/recsys-dataset/resolve/main/images/1755.jpg
